smile,class
N#CC(C#N)=Cc1ccccc1Cl,0
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0
CN(C)CCc1c[nH]c2ccc(O)cc12,0
Nc1nc2[nH]cnc2c(=S)[nH]1,0
CC1=C(C(C)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)C(C(C)OC(C)C1=C(C)c2cc4[nH]c(cc5[nH]c(cc6nc(cc1n2)C(C)=C6C(C)O)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)=C3C,1
O=C(O)C(O)C(O)C(O)C(O)CO,1
CCC(C)C(N=C(O)C(CC(C)C)N=C(O)C(Cc1c[nH]c2ccccc12)N=C(O)C(CC(=N)O)N=C(O)C(N=C(O)C(Cc1ccccc1)N=C(O)C(CC(=O)O)N=C(O)C(CCCNC(=N)N)N=C(O)C(C)N=C(O)C(C)N=C(O)C(CC(C)C)N=C(O)C(CC(=N)O)N=C(O)C(CC(=O)O)N=C(O)C(CC(C)C)N=C(O)C(N=C(O)C(N=C(O)C(CC(=N)O)N=C(O)C(CCSC)N=C(O)C(CCC(=O)O)N=C(O)C(CC(=O)O)N=C(O)C(CO)N=C(O)C(Cc1ccccc1)N=C(O)C(CO)N=C(O)CN=C(O)C(CC(=O)O)N=C(O)CNC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)CC)C(C)CC)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(C(O)=NC(CC(=O)O)C(=O)O)C(C)O)C(C)CC)C(C)O,1
CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,0
O=C(O)C1(C(=O)O)CCC1,1
O=C(O)CCSCC1OC2OC3C(CSCCC(=O)O)OC(OC4C(CSCCC(=O)O)OC(OC5C(CSCCC(=O)O)OC(OC6C(CSCCC(=O)O)OC(OC7C(CSCCC(=O)O)OC(OC8C(CSCCC(=O)O)OC(OC9C(CSCCC(=O)O)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,1
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)c3c(c(O)c4c(Cl)ccc(O)c4c3O)CC12,1
CCOCCOC(=O)CCCCC(=O)OCCOCC,0
ClC(Cl)C(Cl)Cl,0
O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO,0
C=CC(C)CCCC(C)(C)O,0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1
O=C(C(O)CO)C(O)C(O)CO,0
O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,0
O=C(O)CCCCC1SCC2NC(=O)NC21,1
NC(CO)(CO)CO,0
CON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(=O)[nH][n+]3C)CSC12)c1csc(=N)[nH]1,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1
NCCc1cc[nH]n1,0
CCC1(c2cccc(O)c2)CCCCN(C)C1,0
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0
NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,0
C=CC(=O)OCCCCCCOC(=O)C=C,0
CCC1C(O)C2C3CCC(C(C)CCC(=O)O)C3(C)CCC2C2(C)CCC(O)CC12,0
CC(C)=CCCC(C)=CC=O,0
CCn1c(O)c(-c2ccccc2)[nH]c1=O,0
CCCCOC(C)=O,0
C=C1CCCC(C)(C)C1C(=O)C=CC,0
Cc1cc(N=c2[nH]cc(Cl)c(=Nc3ccccc3S(=O)(=O)C(C)C)[nH]2)c(OC(C)C)cc1C1CCNCC1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
N=c1[nH]c(=O)[nH]cc1F,1
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,1
CN(C)CCC=C1c2ccccc2CSc2ccccc21,1
O=[P](=O)(O)CN(CCN(C[P](=O)(=O)O)C[P](=O)(=O)O)C[P](=O)(=O)O,1
O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,0
CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,0
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,1
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
